dataset,model_type,model_name,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,runtime_seconds,average_inference_time_per_sample,test_samples
esg_test_v3,v3_fine_tuned,/Users/eliza/Desktop/MSBA/Spring-2st/Deep Learning with Python/Project/BlackRock_ESG_Risk_Analyzer/04_models/blackrock_esg_classifier_v3,0.8260869565217391,0.8511904761904762,0.8333333333333334,0.817016317016317,0.8519668737060041,0.8260869565217391,0.8130130738826391,0.7735841274261475,0.03363409249678902,23
esg_test_v3,baseline,yiyanghkust/finbert-esg,0.6956521739130435,0.75,0.7000000000000001,0.6762820512820513,0.7577639751552795,0.6956521739130435,0.6767001114827201,0.6855311393737793,0.029805701711903446,23
esg_test_v3,old_fine_tuned,johnsonzhangzzz/blackrock_esg_classifier,0.2608695652173913,0.06521739130434782,0.25,0.10344827586206896,0.06805293005671077,0.2608695652173913,0.10794602698650675,0.7467589378356934,0.03246777990589971,23
real_world_50,v3_fine_tuned,/Users/eliza/Desktop/MSBA/Spring-2st/Deep Learning with Python/Project/BlackRock_ESG_Risk_Analyzer/04_models/blackrock_esg_classifier_v3,0.76,0.8006535947712419,0.75,0.7417385057471264,0.7997385620915033,0.76,0.7470689655172413,0.6323659420013428,0.012647318840026855,50
real_world_50,baseline,yiyanghkust/finbert-esg,0.7,0.7447916666666666,0.6874999999999999,0.6684873949579833,0.7416666666666666,0.7,0.6737478991596639,1.1684892177581787,0.023369784355163573,50
real_world_50,old_fine_tuned,johnsonzhangzzz/blackrock_esg_classifier,0.24,0.06382978723404255,0.25,0.1016949152542373,0.06127659574468085,0.24,0.0976271186440678,0.6184701919555664,0.012369403839111328,50
manual_test,v3_fine_tuned,/Users/eliza/Desktop/MSBA/Spring-2st/Deep Learning with Python/Project/BlackRock_ESG_Risk_Analyzer/04_models/blackrock_esg_classifier_v3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28184080123901367,0.014092040061950684,20
manual_test,baseline,yiyanghkust/finbert-esg,0.95,0.9583333333333334,0.95,0.9494949494949495,0.9583333333333334,0.95,0.9494949494949495,0.5553717613220215,0.027768588066101073,20
manual_test,old_fine_tuned,johnsonzhangzzz/blackrock_esg_classifier,0.55,0.5892857142857143,0.55,0.4966583124477861,0.5892857142857142,0.55,0.4966583124477861,0.27780818939208984,0.013890409469604492,20
